TX,TY,TZ,FX_0,FY_0,FZ,flow_speed,vegetation_layout
0.6066746219,0.4210275916,-0.0199315402,2.2141786089,-0.1898962395,-0.1864054975,0.3000000000,0010100000010001000001000000000000001
1.0710818718,0.7495276407,-0.0283430027,3.9132268272,-0.3340668180,0.0397701535,0.4000000000,0010100000010001000001000000000000001
-0.0989563224,0.1625094394,-0.0261869464,0.0578993682,-0.2771251349,0.7771057779,0.1000000000,1010000000001010000000000000000001001
-0.0018652496,0.2739794697,-0.0151134287,0.8343447492,-0.0034294284,0.0979716626,0.2000000000,1010000000001010000000000000000001001
0.0478984251,0.5412941146,-0.0417392532,1.4325924028,-0.0545523885,-0.5185564645,0.3000000000,1010000000001010000000000000000001001
0.0919085503,0.9265550987,-0.0443990226,2.3774507849,-0.4815987038,-0.9180713470,0.4000000000,1010000000001010000000000000000001001
-0.1546371902,0.0741464814,-0.0174349881,0.2785169735,-0.1801956398,0.4821764400,0.1000000000,0001000000000011000100000000000011000
-1.5241662743,0.0702389438,0.1730274496,5.5383959764,1.0896811554,-1.2529074396,0.2000000000,0001000000000011000100000000000011000
-0.8548063506,0.4463139284,0.0312701148,2.8895850651,0.1436239757,0.3060592028,0.3000000000,0001000000000011000100000000000011000
-1.4787529550,0.7479910086,0.0405631851,4.8144575641,0.2295359381,0.4536650977,0.4000000000,0001000000000011000100000000000011000
-0.0618912827,-0.0873660839,-0.0094091680,0.1406796610,-0.4747753741,0.1146570514,0.1000000000,1000000000000001000001000100000010100
-0.2582026866,-0.1176564940,0.0120541441,0.8567291321,-0.0218767965,0.4567063033,0.2000000000,1000000000000001000001000100000010100
-0.4608910442,-0.2557131012,0.0281224640,1.7314617765,-0.1383941311,0.4430834170,0.3000000000,1000000000000001000001000100000010100
-0.8178243897,-0.3281361750,0.0099159777,2.8473196568,-0.7336530709,0.5636858719,0.4000000000,1000000000000001000001000100000010100
-0.0160111307,-0.0496635751,0.1043051603,0.0620503164,-0.4385827772,1.1381986330,0.1000000000,1010001000000000000000000000010000101
0.0656932502,-0.3317979426,0.0129658874,1.1018775038,-0.0472559422,0.2202118424,0.2000000000,1010001000000000000000000000010000101
0.1009014280,-0.6752907875,0.0180536993,1.9154532767,-0.0907070054,0.2744888876,0.3000000000,1010001000000000000000000000010000101
0.1311977002,-1.1719325159,0.0006684329,3.0918305141,-0.4080151000,0.2680515384,0.4000000000,1010001000000000000000000000010000101
0.1354752991,-0.0323109468,-0.0069086423,0.3053742850,-0.0976965593,-0.1779989532,0.1000000000,0001000000000110100000100000000001000
0.2325816269,-0.1562739668,0.0055368778,0.7152023827,-0.0622618431,0.0188027047,0.2000000000,0001000000000110100000100000000001000
0.5199368381,-0.4391595374,-0.0115496050,1.7971595228,-0.3044401861,0.6386545285,0.3000000000,0001000000000110100000100000000001000
0.8023490685,-0.8390117933,-0.0269405256,3.0559607783,-0.9242971487,0.5607035430,0.4000000000,0001000000000110100000100000000001000
0.0915209856,0.0326158757,-0.0230112571,0.2918129042,-0.2298673743,0.1470826729,0.1000000000,0000110000000001000001000010000010000
0.2706685089,0.1910225455,0.0043458812,1.0082813264,0.0275769983,0.5192798818,0.2000000000,0000110000000001000001000010000010000
0.5718213046,0.3863264647,0.0216554890,2.1065190286,-0.0587735860,-0.1992254727,0.3000000000,0000110000000001000001000010000010000
1.0189321466,0.6475577573,0.0172631133,3.7968600115,-0.3983818888,0.2107940789,0.4000000000,0000110000000001000001000010000010000
-0.1012881845,0.1391878120,-0.0256996503,0.0197052973,-0.2863496541,0.5072408770,0.1000000000,1010000100000000000000000000001000101
-0.0590212753,0.2719644278,0.0096369494,0.6830473172,0.0265149267,-0.0886331010,0.2000000000,1010000100000000000000000000001000101
-0.0440450797,0.4724904135,0.0135818221,1.2619670876,-0.1386403501,-0.7667918244,0.3000000000,1010000100000000000000000000001000101
0.0167273545,0.7908704095,0.0358832730,2.1534616976,-0.0983393724,-0.5984815437,0.4000000000,1010000100000000000000000000001000101
-0.1345241371,0.0354975434,-0.0238645840,0.2449312049,-0.1322509634,-0.0684407497,0.1000000000,0001000000000010000010110000000001000
-0.3887851974,0.2113524412,0.0049005784,1.2588155979,0.0320651523,0.0870202284,0.2000000000,0001000000000010000010110000000001000
-0.8317854512,0.3592799008,0.0044395384,2.8455923135,-0.0220724613,0.4422939835,0.3000000000,0001000000000010000010110000000001000
-1.3788983386,0.6137941009,0.0284265503,4.5889751712,-0.0068255467,1.3302927794,0.4000000000,0001000000000010000010110000000001000
-0.0441852320,-0.1019351645,-0.0159288823,0.2898031730,-0.1256264544,-0.1832877680,0.1000000000,0000100000100001000001000000000110000
-0.2235843859,-0.1157992714,0.0044191791,0.8740303034,0.1189802771,0.0666393157,0.2000000000,0000100000100001000001000000000110000
-0.4161636620,-0.2290518395,0.0037789865,1.6120382506,-0.0998082962,0.5464585660,0.3000000000,0000100000100001000001000000000110000
-0.7052727584,-0.4268305197,-0.0770842788,2.8917987270,-0.2241837222,0.6064390685,0.4000000000,0000100000100001000001000000000110000
0.0090215409,-0.0936984560,0.0142485688,0.0176614661,-0.0851084736,0.4220676078,0.1000000000,1100000000000000000100011000001100001
0.0406822253,-0.3702611839,0.0141135779,1.0382959972,0.0812064422,0.3848596244,0.2000000000,1100000000000000000100011000001100001
0.0741668384,-0.6790367223,0.0480920717,1.8188317624,-0.0171962789,0.8379327826,0.3000000000,1100000000000000000100011000001100001
0.1415136485,-1.1719747188,0.0746028454,2.8979901543,-0.0122508311,0.6914775371,0.4000000000,1100000000000000000100011000001100001
0.0632222327,-0.0985116978,-0.0393004288,0.4421233049,-0.2171207390,-0.2797442843,0.1000000000,0001000010100000010000010100010001000
0.3494917388,-0.2273965080,-0.0483606186,1.2509434103,-0.0836026600,-0.1212162341,0.2000000000,0001000010100000010000010100010001000
0.6373751137,-0.5037095477,-0.0835536039,2.3415803400,-0.4092198842,0.1180214689,0.3000000000,0001000010100000010000010100010001000
1.0091714516,-0.8335645213,-0.1581241116,3.7215693168,-0.5924680258,0.7358712877,0.4000000000,0001000010100000010000010100010001000
0.0821519668,0.0447072033,-0.0166597383,0.2646409194,-0.2161734921,0.5080720450,0.1000000000,0000001000110001100001001001000000000
0.2863636921,0.1867392585,0.0208581553,1.1072195235,-0.0561640048,0.0377588717,0.2000000000,0000001000110001100001001001000000000
0.6000210598,0.3758637447,0.0017169739,2.1817273122,-0.3857987493,-0.3728075420,0.3000000000,0000001000110001100001001001000000000
1.0623127934,0.5783528936,-0.0213707097,3.6502275808,-0.6936855329,-0.4439845482,0.4000000000,0000001000110001100001001001000000000
-0.0062980540,0.1005443157,-0.0230838978,0.1602270829,-0.0608809809,0.1669036279,0.1000000000,1000011000001100010000000000000000011
-0.0580468999,0.3339841783,-0.0059800897,0.8035344288,0.1439176114,-0.1096583705,0.2000000000,1000011000001100010000000000000000011
-0.0861941578,0.6830449304,-0.0048553639,2.1041525498,0.1599421960,-0.1969483094,0.3000000000,1000011000001100010000000000000000011
-0.1491058161,1.1477025114,-0.0043782229,3.1258878938,0.1249876384,0.0610314238,0.4000000000,1000011000001100010000000000000000011
-0.1198625357,0.0745119844,-0.0047696218,0.4680655734,-0.2352917072,-0.2587855526,0.1000000000,0001000100010100000100000010100001000
-0.4499760722,0.2669333438,0.0273413743,1.4622726787,-0.1244570893,0.7491203761,0.2000000000,0001000100010100000100000010100001000
-0.9527341893,0.6295900367,0.0725918151,3.1716342430,-0.1618711642,0.9440758977,0.3000000000,0001000100010100000100000010100001000
-1.6303785239,1.1299276290,0.1030624566,5.2704400646,-0.4061248260,1.5406449918,0.4000000000,0001000100010100000100000010100001000
-0.0726521444,-0.0543591048,-0.0118676608,0.1421165632,-0.3407587343,-0.4146206300,0.1000000000,0000000001001001000011000110001000000
-0.2691040519,-0.1593044688,0.0114747605,0.9134494702,0.0016191195,0.5377031130,0.2000000000,0000000001001001000011000110001000000
-0.5208146997,-0.2724381972,0.0179050041,1.6930254458,-0.3367379999,0.6518913361,0.3000000000,0000000001001001000011000110001000000
-0.8555869134,-0.4615295075,0.0484313538,2.9291121970,-0.2816756389,0.4300585098,0.4000000000,0000000001001001000011000110001000000
-0.0127298691,-0.0547538298,0.0942525225,0.2026729693,-0.3652693938,0.2885230652,0.1000000000,1001110000000000010000100000000000011
0.0431812508,-0.4561285987,0.0421952829,1.2373116857,-0.0276274637,0.2641319961,0.2000000000,1001110000000000010000100000000000011
0.0593919069,-0.9374893550,0.0872737574,2.4894603194,-0.1180579273,0.5249290177,0.3000000000,1001110000000000010000100000000000011
0.0772449294,-1.5910965726,0.1613096479,4.1328691138,-0.2880826875,0.8483422592,0.4000000000,1001110000000000010000100000000000011
0.0683275045,-0.0889522295,-0.0066035717,0.3763642514,-0.2796356474,0.0013630511,0.1000000000,0011100100010000000001000000100001000
0.2673567471,-0.2153146073,0.0377409975,0.9824106766,-0.1452031886,0.1048738154,0.2000000000,0011100100010000000001000000100001000
0.5333462491,-0.4300774356,0.0748550799,1.9824145621,-0.2653386692,0.1525759535,0.3000000000,0011100100010000000001000000100001000
0.8484297728,-0.7296285067,0.1032573550,3.1210394219,-0.4828047888,0.3245238625,0.4000000000,0011100100010000000001000000100001000
0.1180337713,0.0448030324,-0.0124314633,0.3979732626,-0.1802457043,-0.0949404725,0.1000000000,0010000001001011000011000000000000001
0.3618670075,0.2275901622,0.0188248762,1.3278366504,-0.1683463777,-0.1038951161,0.2000000000,0010000001001011000011000000000000001
0.7697837366,0.4937457169,0.0307369015,2.7799647703,-0.2825837448,-0.2293835135,0.3000000000,0010000001001011000011000000000000001
1.3117148820,0.8347666307,0.0768681574,4.6489046910,-0.5140906022,-0.3722808340,0.4000000000,0010000001001011000011000000000000001
0.0261903123,0.0826811291,-0.0300922521,0.1512718788,-0.1916013519,-0.1444911202,0.1000000000,1100000000000010000100000000000111001
0.0101674640,0.3233268293,-0.0256538545,0.8240773322,-0.0523241449,-0.3142106019,0.2000000000,1100000000000010000100000000000111001
-0.0165951827,0.6551652539,-0.0677029090,1.6836739117,-0.1027080981,-0.1138249272,0.3000000000,1100000000000010000100000000000111001
